id,Song,Artist,Song_ASCII,Artist_ASCII,Cover Artist,Date,Album,Album_ID,Image,File_IN,Hash_IN,Flags,Key,Tempo (1/4 beat),Version
48,Believer,Imagine Dragons,Believer,Imagine Dragons,Neuro [v1],2023-03-18,Neuro [v1] March Stream Songs,16,2023-Mar,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/049. Imagine Dragons - Believer (Neuro.v1).mp3,91767d1baa8b110b,v1;neuro;,,,1
49,愛言葉 (Ai Kotoba),DECO*27,Ai Kotoba,DECO 27,Neuro [v1],2023-03-19,Neuro [v1] March Stream Songs,17,2023-Mar,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/050. DECO_27 - 愛言葉 (Ai Kotoba) (Neuro.v1).mp3,9d70a798ab3c5f7c,v1;neuro;,,,1
50,ルカルカ★ナイトフィーバー (Luka Luka★Night Fever),Samfree,Luka Luka Night Fever,Samfree,Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,1,,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/051. Samfree - ルカルカ★ナイトフィーバー (Luka Luka★Night Fever) (Neuro.v1).mp3,ee2128b187809c61,v1;neuro;,,,1
51,Can You Feel My Heart,Bring Me the Horizon,Can You Feel My Heart,Bring Me The Horizon,Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,2,,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/012. Bring Me the Horizon - Can You Feel My Heart (Neuro.v1).mp3,c3528e4a0e9dcc97,v1;neuro;duplicate;,,,
52,テオ (Teo),Omoi,Teo,Omoi,Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,3,,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/038. Omoi - テオ (Teo) (Neuro.v1).mp3,6f038fb23baf392d,v1;neuro;duplicate;,,,
53,Gee (JP ver.),Girls' Generation,Gee (JP ver.),Girls' Generation,Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,4,,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/043. Girls' Generation - Gee (JP ver.) (Neuro.v1).mp3,92e44c0613fe5e65,v1;neuro;duplicate;,,,
54,Revenge,"TryHardNinja, CaptainSparklez",Revenge,"CaptainSparklez, TryHardNinja",Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,5,,"songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/013. TryHardNinja, CaptainSparklez - Revenge (Neuro.v1).mp3",1af5238c14df5254,v1;neuro;duplicate;,,,
55,It's Been So Long,The Living Tombstone,It's Been So Long,The Living Tombstone,Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,6,,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/032. The Living Tombstone - It's Been So Long (Neuro.v1).mp3,44d6950fd5c80cc2,v1;neuro;duplicate;,,,
56,Brain Power,NOMA,Brain Power,NOMA,Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,7,,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/016. NOMA - Brain Power (Neuro.v1).mp3,7438837a8511ada1,v1;neuro;duplicate;,,,
57,Radioactive,Imagine Dragons,Radioactive,Imagine Dragons,Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,8,,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/045. Imagine Dragons - Radioactive (Neuro.v1).mp3,11fbc1614048cb18,v1;neuro;duplicate;,,,
58,Call Me Maybe,Carly Rae Jepsen,Call Me Maybe,Carly Rae Jepsen,Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,9,,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/046. Carly Rae Jepsen - Call Me Maybe (Neuro.v1).mp3,b1ea701dfa6ef765,v1;neuro;duplicate;,,,
59,Bad Apple!!,"Alstroemeria Records, nomico",Bad Apple!!,"Alstroemeria Records, nomico",Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,10,,"songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/044. Alstroemeria Records, nomico - Bad Apple!! (Neuro.v1).mp3",bbc96b614326a593,v1;neuro;duplicate;,,,
60,39みゅーじっく！ (39 Music!),mikitoP,39 Music,mikitoP,Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,11,,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/042. mikitoP - 39みゅーじっく！ (39 Music!) (Neuro.v1).mp3,befb05eed09fe818,v1;neuro;duplicate;,,,
61,bad guy,Billie Eilish,bad guy,Billie Eilish,Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,12,,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/025. Billie Eilish - bad guy (Neuro.v1).mp3,b7459a2f687758b2,v1;neuro;duplicate;,,,
62,神っぽいな (God-ish),"DECO*27, PinocchioP",God-ish,"PinocchioP, DECO*27",Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,13,,"songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/029. DECO_27, PinocchioP - 神っぽいな (God-ish) (Neuro.v1).mp3",786296d6b9f69242,v1;neuro;duplicate;,,,
63,うっせぇわ (Usseewa),Ado,Usseewa,Ado,Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,14,,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/036. Ado - うっせぇわ (Usseewa) (Neuro.v1).mp3,43c3acc0c8a97ddb,v1;neuro;duplicate;,,,
64,I Am Machine,Three Days Grace,I Am Machine,Three Days Grace,Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,15,,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/030. Three Days Grace - I Am Machine (Neuro.v1).mp3,f9fe2006169fb868,v1;neuro;duplicate;,,,
65,I Kissed a Girl,Katy Perry,I Kissed a Girl,Katy Perry,Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,16,,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/040. Katy Perry - I Kissed a Girl (Neuro.v1).mp3,3c8e173b80299d32,v1;neuro;duplicate;,,,
66,Toxic,Britney Spears,Toxic,Britney Spears,Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,17,,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/052. Britney Spears - Toxic (Neuro.v1).mp3,c0011229d43674be,v1;neuro;,,,1
67,Take On Me,a-ha,Take On Me,A-ha,Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,18,,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/002. a-ha - Take On Me (Neuro.v1).mp3,0e642ddc0161996d,v1;neuro;duplicate;,,,
68,All Star,Smash Mouth,All Star,Smash Mouth,Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,19,,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/037. Smash Mouth - All Star (Neuro.v1).mp3,4e31de5c4c269c9f,v1;neuro;duplicate;,,,
69,Pokémon Theme (Gotta catch 'em all!),"John Siegler, Jason Paige",Gotta catch em all,"John Siegler, Jason Paige",Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,20,,"songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/047. John Siegler, Jason Paige - Pokémon Theme (Gotta catch 'em all!) (Neuro.v1).mp3",4f2bf6f7d66c786f,v1;neuro;duplicate;,,,
70,After Dark,Mr.Kitty,After Dark,Mr.Kitty,Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,21,,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/035. Mr.Kitty - After Dark (Neuro.v1).mp3,524857e009bf6596,v1;neuro;duplicate;,,,
71,Enemy,"Imagine Dragons, JID",Enemy,"Imagine Dragons, JID",Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,22,,"songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/015. Imagine Dragons, JID - Enemy (Neuro.v1).mp3",fdcf6334850962c4,v1;neuro;duplicate;,,,
72,Shelter,"Porter Robinson, Madeon",Shelter,Porter Robinson,Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,23,,"songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/020. Porter Robinson, Madeon - Shelter (Neuro.v1).mp3",6943c9934589e39f,v1;neuro;duplicate;,,,
73,California Gurls,"Katy Perry, Snoop Dogg",California Gurls,"Katy Perry, Snoop Dogg",Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,24,,"songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/053. Katy Perry, Snoop Dogg - California Gurls (Neuro.v1).mp3",2409641aaf8c0072,v1;neuro;,,,1
74,Careless Whisper,George Michael,Careless Whisper,George Michael,Neuro [v1],2023-03-22,Neuro [v1] 2023-03-22 Karaoke,25,,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/023. George Michael - Careless Whisper (Neuro.v1).mp3,1e172570fb656710,v1;neuro;duplicate;,,,
75,Running in the 90's,Max Coveri,Running in the 90's,Max Coveri,Neuro [v1],2023-03-29,Neuro [v1] 2023-03-29 Karaoke,1,,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/054. Max Coveri - Running in the 90's (Neuro.v1).mp3,6a5d130d592b1d75,v1;neuro;,,,1
